Position,Team,Played,Won,Drawn,Lost,Goals For,Goals Against,Points
1,Liverpool FC,38,25,9,4,86,41,84
2,Arsenal FC,38,20,14,4,69,34,74
3,Manchester City FC,38,21,8,9,72,44,71
4,Chelsea FC,38,20,9,9,64,43,69
5,Newcastle United FC,38,20,6,12,68,47,66
6,Aston Villa FC,38,19,9,10,58,51,66
7,Nottingham Forest FC,38,19,8,11,58,46,65
8,Brighton & Hove Albion FC,38,16,13,9,66,59,61
9,AFC Bournemouth,38,15,11,12,58,46,56
10,Brentford FC,38,16,8,14,66,57,56
11,Fulham FC,38,15,9,14,54,54,54
12,Crystal Palace FC,38,13,14,11,51,51,53
13,Everton FC,38,11,15,12,42,44,48
14,West Ham United FC,38,11,10,17,46,62,43
15,Manchester United FC,38,11,9,18,44,54,42
16,Wolverhampton Wanderers FC,38,12,6,20,54,69,42
17,Tottenham Hotspur FC,38,11,5,22,64,65,38
18,Leicester City FC,38,6,7,25,33,80,25
19,Ipswich Town FC,38,4,10,24,36,82,22
20,Southampton FC,38,2,6,30,26,86,12
